id,isp_name,is_oversea
1161,Telmex,1
1162,SpeedyPage,1
1163,IPVolume,1
1164,云中科技,0
1165,QTSData,1
1166,Spartan,1
1167,UarNet,1
1168,RTComm,1
1169,NexonHost,1
1170,NSEC,1
1171,DuoDuoCloud,1
1172,ASLINE,0
1173,Binero,1
1174,OptiCom,1
1175,Internexa,1
1176,IFXNetworks,1
1177,Izzi,1
1178,ETB,1
1179,Hughes,1
1180,DigitalNet,1
1181,AfricaOnCloud,0
1182,Cloudinnovation,0
1183,Suniway,0
1184,DXTL,0
1185,电信CN2,1
1186,Cloudware,0
1187,安联网络,0
1188,CDS,1
1189,Megalayer,0
1190,卡尔国际,0
1191,Brother,1
1192,TransOcean,1
1193,Flyservers,1
1194,Vtal,1
1195,Telconet,1
1196,GTD,1
1197,华夏雅库,0
1198,幻想互联,0
1199,快快网络,0
1200,RapidScale,0
1201,诺华科技,0
1202,青果网络,0
1203,广电,0
1204,宽惠网络,0
1205,AdStack,0
1206,vCloud,0
1207,DNSFilter,0
1208,Lightclouds,0
1209,IZEC,1
1210,Swisscom,1
1211,FirstByte,1
1212,纽约大学,1
1213,Bite,1
1214,PrimeTel,1
1215,SFR,1
1216,Drei,1
1217,ROSTNET,1
1218,ITSTARCOM,1
1219,LTD,1
1220,NextGen,1
1221,Telekabel,1
1222,o3,1
1223,H3G,1
1224,Gandi,1
1225,Gigaclear,1
1226,ws,1
1227,Beeks,1
1228,TAL,1
1229,Cablenet,1
1230,WBMI,1
1231,Sogou,0
1232,TIME,1
1233,砂拉越大学,1
1234,盛大网络,0
1235,数位通,0
1236,迅游科技,1
1237,江苏有线,0
1238,ETPI,1
1239,Eastern,1
1240,Uplus,1
1241,ACTCorp,1
1242,HyosungITX,1
1243,NAVERCorp,1
1244,临网通讯,0
1245,IIJ,1
1246,MobileOne,1
1247,HKDnet,0
1248,Eonix,1
1249,FusionConnect,1
1250,IBM SoftLayer,1
1251,SendGrid,1
1252,Deft,1
1253,Primus,1
1254,Wayport,1
1255,IBMCloud,1
1256,EonsData,1
1257,PrimeSecurityCorp,0
1258,Unitas,1
1259,Northwestel,1
1260,Scaleway,1
1261,MTC-KSA,1
1262,Login,1
1263,Mercedes-Benz,1
1264,USPS,1
1265,云上艾珀,0
1266,LG Uplus,1
1267,国研科技,0
1268,MyTelecom,1
1269,Seokyung,1
1270,新一代数据中心,0
1271,OPTAGE,1
1272,视虎科技,0
1273,Sinoycloud,0
1274,EBB,1
1275,中嘉宽频,0
1276,TrueInternet,1
1277,台基科,0
1278,Sejong,1
1279,SEJONGTelecom,1
1280,KSC,1
1281,天地网联,0
1282,NIB,1
1283,AAPT,1
1284,LSC湛积,0
1285,Dreamline,1
1286,比特汇通,0
1287,联广通,0
1288,千喜网络,0
1289,电子政务网,0
1290,宏远电讯,0
1291,油田宽带,0
1292,YTP,1
